Time	Y	
1.131	-0.950246	
1.132	-0.950246	
1.133	-0.950246	
1.134	-0.950246	
1.135	-0.950246	
1.136	-0.950246	
1.137	-0.950246	
1.138	-0.950246	
1.139	-0.950246	
1.14	-0.950246	
1.141	-0.950246	
1.142	-0.950246	
1.143	-0.950246	
1.144	-0.950246	
1.145	-0.950246	
1.146	-0.950246	
1.147	-0.950246	
1.148	-0.950246	
1.149	-0.950246	
1.15	-0.950246	
1.151	-0.950246	
1.152	-0.950246	
1.153	-0.950246	
1.154	-0.950246	
1.155	-0.950246	
1.156	-0.950246	
1.157	-0.950246	
1.158	-0.950246	
1.159	-0.950246	
1.16	-0.950246	
1.161	-0.950246	
1.162	-0.950246	
1.163	-0.950246	
1.164	-0.950246	
1.165	-0.950246	
1.166	-0.950246	
1.167	-0.950246	
1.168	-0.950246	
1.169	-0.950246	
