Time	Hinge	Fy	Tz	
0.7410001	-0.0277179	-7.450581E-09	0.3998469	
0.742	-0.02794887	-7.450581E-09	0.3998444	
0.743	-0.0281808	-7.450581E-09	0.3998418	
0.744	-0.02841369	-7.450581E-09	0.3998391	
0.7450001	-0.02864753	-3.72529E-09	0.3998365	
0.7460001	-0.02888234	-7.450581E-09	0.3998338	
0.747	-0.0291181	-3.72529E-09	0.399831	
0.748	-0.02935482	-7.450581E-09	0.3998283	
0.749	-0.0295925	-3.72529E-09	0.3998255	
0.7500001	-0.02983114	-7.450581E-09	0.3998226	
0.751	-0.03007073	-3.72529E-09	0.3998198	
0.752	-0.03031128	-3.72529E-09	0.3998169	
0.753	-0.03055279	-3.72529E-09	0.3998139	
0.754	-0.03079526	-3.72529E-09	0.399811	
0.7550001	-0.03103869	-3.72529E-09	0.399808	
0.756	-0.03128307	-7.450581E-09	0.3998049	
0.757	-0.03152841	0	0.3998019	
0.758	-0.03177472	-3.72529E-09	0.3997987	
0.7590001	-0.03202198	-3.72529E-09	0.3997956	
0.7600001	-0.0322702	-3.72529E-09	0.3997924	
0.761	-0.03251937	-3.72529E-09	0.3997892	
0.762	-0.0327695	0	0.3997859	
0.763	-0.03302059	-3.72529E-09	0.3997826	
0.7640001	-0.03327264	-3.72529E-09	0.3997793	
0.765	-0.03352564	0	0.3997759	
