Time	A4	A4Ia	
1.306	-0.06331165	3.523122E-27	
1.308	-0.06344542	3.523122E-27	
1.31	-0.06357651	3.523122E-27	
1.312	-0.06370498	3.523122E-27	
1.314	-0.06383088	3.523122E-27	
1.316	-0.06395426	3.523122E-27	
1.318	-0.06407518	3.523122E-27	
1.32	-0.06419367	3.523122E-27	
1.322	-0.0643098	3.523122E-27	
1.324	-0.06442361	3.523122E-27	
1.326	-0.06453513	3.523122E-27	
1.328	-0.06464443	3.523122E-27	
1.33	-0.06475154	3.523122E-27	
1.332	-0.06485651	3.523122E-27	
1.334	-0.06495938	3.523122E-27	
1.336	-0.06506019	3.523122E-27	
1.338	-0.06515899	3.523122E-27	
1.34	-0.06525581	3.523122E-27	
1.342	-0.0653507	3.523122E-27	
1.344	-0.06544368	3.515137E-27	
1.346	-0.06553481	3.515388E-27	
1.348	-0.06562411	2.804153E-27	
1.35	-0.06571162	3.525245E-27	
1.352	-0.0657974	3.519404E-27	
1.354	-0.06588145	3.522688E-27	
1.356	-0.06596382	3.523037E-27	
1.358	-0.06604454	3.523045E-27	
1.36	-0.06612365	3.523062E-27	
1.362	-0.06620118	3.523081E-27	
1.364	-0.06627715	3.523094E-27	
1.366	-0.06635161	3.523102E-27	
1.368	-0.06642458	3.523109E-27	
1.37	-0.06649609	3.523113E-27	
1.372	-0.06656617	3.523116E-27	
1.374	-0.06663484	3.523118E-27	
1.376	-0.06670214	3.523119E-27	
1.378	-0.0667681	3.52312E-27	
1.38	-0.06683274	3.523121E-27	
1.382	-0.06689609	3.523121E-27	
1.384	-0.06695817	3.523121E-27	
1.386	-0.067019	3.523121E-27	
1.388	-0.06707862	3.523122E-27	
1.39	-0.06713705	3.523122E-27	
1.392	-0.06719431	3.523122E-27	
1.394	-0.06725042	3.523122E-27	
1.396	-0.06730542	3.522263E-27	
1.398	-0.06735931	3.523122E-27	
1.4	-0.06741212	3.523217E-27	
1.402	-0.06746387	3.523129E-27	
1.404	-0.0675146	3.523126E-27	
1.406	-0.06756431	3.523126E-27	
1.408	-0.06761302	3.523125E-27	
1.41	-0.06766076	3.523125E-27	
1.412	-0.06770755	3.523124E-27	
1.414	-0.0677534	3.523124E-27	
1.416	-0.06779832	3.523124E-27	
1.418	-0.06784236	3.523124E-27	
1.42	-0.06788551	3.523124E-27	
1.422	-0.0679278	3.523124E-27	
1.424	-0.06796925	3.523124E-27	
1.426	-0.06800986	3.523124E-27	
1.428	-0.06804966	3.523124E-27	
1.43	-0.06808867	3.523124E-27	
1.432	-0.06812689	3.523124E-27	
1.434	-0.06816436	3.523124E-27	
1.436	-0.06820107	3.523124E-27	
1.438	-0.06823705	3.523124E-27	
1.44	-0.06827231	3.523124E-27	
1.442	-0.06830686	3.523124E-27	
