Time	1	2	3	
0.2275	-0.05999998	-0.0368451	-0.06394185	
0.228	-0.05999998	-0.03638239	-0.06385701	
0.2285	-0.05999998	-0.03593692	-0.06376988	
0.229	-0.05999998	-0.03551075	-0.0636811	
0.2295	-0.05999998	-0.03510525	-0.06359117	
0.23	-0.05999998	-0.03472123	-0.06350054	
0.2305	-0.05999998	-0.03435904	-0.06340957	
0.231	-0.05999998	-0.03401867	-0.06331854	
0.2315	-0.05999998	-0.03369984	-0.06322774	
0.232	-0.05999998	-0.03340206	-0.06313737	
0.2325	-0.05999998	-0.03312463	-0.06304761	
0.233	-0.05999998	0	-0.06295864	
0.2335	-0.05999998	-0.03600301	-0.06370468	
0.234	-0.05999998	-0.03810672	-0.06422935	
0.2345	-0.05999998	-0.03948116	-0.06459422	
0.235	-0.05999998	-0.04033131	-0.06484262	
0.2355	-0.05999998	-0.04079944	-0.06500535	
0.236	-0.05999998	-0.04098679	-0.06510452	
0.2365	-0.05999998	-0.04096697	-0.06515615	
0.237	-0.05999998	-0.04079454	-0.0651719	
0.2375	-0.05999998	-0.04051059	-0.06516044	
0.238	-0.05999998	-0.04014654	-0.06512814	
0.2385	-0.05999998	-0.03972659	-0.06507982	
0.239	-0.05999998	-0.03926959	-0.06501912	
0.2395	-0.05999998	-0.03879023	-0.06494882	
0.24	-0.05999998	-0.03829999	-0.06487104	
0.2405	-0.05999998	-0.03780782	-0.06478745	
0.241	-0.05999998	-0.03732065	-0.06469934	
0.2415	-0.05999998	-0.03684378	-0.06460774	
0.242	-0.05999998	-0.0363812	-0.06451349	
0.2425	-0.05999998	-0.03593585	-0.06441724	
0.243	-0.05999998	-0.03550978	-0.06431954	
0.2435	-0.05999998	-0.03510437	-0.06422083	
0.244	-0.05999998	-0.03472043	-0.0641215	
0.2445	-0.05999998	-0.03435832	-0.06402184	
0.245	-0.05999998	-0.03401802	-0.06392214	
0.2455	-0.05999998	-0.03369925	-0.06382261	
0.246	-0.05999998	-0.03340152	-0.06372347	
0.2465	-0.05999998	-0.03312415	-0.06362487	
0.247	-0.05999998	0	-0.06352697	
0.2475	-0.05999998	-0.03600265	-0.06425318	
0.248	-0.05999998	-0.03810642	-0.06475466	
0.2485	-0.05999998	-0.03948091	-0.06509626	
0.249	-0.05999998	-0.04033109	-0.06532292	
0.2495	-0.05999998	-0.04079926	-0.06546614	
0.25	-0.05999998	-0.04098663	-0.06554818	
0.2505	-0.05999998	-0.04096683	-0.06558495	
0.251	-0.05999998	-0.04079442	-0.06558794	
0.2515	-0.05999998	-0.04051049	-0.06556547	
0.252	-0.05999998	-0.04014645	-0.06552371	
0.2525	-0.05999998	-0.03972651	-0.06546718	
0.253	-0.05999998	-0.03926951	-0.0653993	
0.2535	-0.05999998	-0.03879016	-0.06532266	
0.254	-0.05999998	-0.03829993	-0.06523921	
0.2545	-0.05999998	-0.03780777	-0.06515047	
0.255	-0.05999998	-0.0373206	-0.06505761	
0.2555	-0.05999998	-0.03684374	-0.06496157	
0.256	-0.05999998	-0.03638116	-0.06486309	
0.2565	-0.05999998	-0.03593581	-0.06476276	
0.257	-0.05999998	-0.03550974	-0.06466108	
0.2575	-0.05999998	-0.03510434	-0.06455845	
0.258	-0.05999998	-0.03472041	-0.0644552	
0.2585	-0.05999998	-0.03435829	-0.06435163	
0.259	-0.05999998	-0.034018	-0.06424797	
0.2595	-0.05999998	-0.03369923	-0.06414443	
0.26	-0.05999998	-0.0334015	-0.0640412	
0.2605	-0.05999998	-0.03597715	-0.06393845	
0.261	-0.05999998	-0.03829825	-0.06383632	
0.2615	-0.05999998	-0.04039111	-0.06373495	
0.262	-0.05999998	-0.04227904	-0.06363445	
0.2625	-0.05999998	-0.04398279	-0.06353492	
0.263	-0.05999998	-0.04552084	-0.06343647	
0.2635	-0.05999998	-0.04690974	-0.06333918	
0.264	-0.05999998	-0.04816425	-0.06324314	
0.2645	-0.05999998	-0.04929764	-0.06314842	
0.265	-0.05999998	-0.05032178	-0.06305507	
0.2655	-0.05999998	-0.05124735	-0.06296317	
0.266	-0.05999998	-0.05208397	-0.06287276	
0.2665	-0.05999998	-0.05284027	-0.0627839	
0.267	-0.05999998	-0.05352404	-0.06269664	
0.2675	-0.05999998	-0.05414228	-0.06261101	
0.268	-0.05999998	-0.05470133	-0.06252703	
0.2685	-0.05999998	-0.05520688	-0.06244475	
0.269	-0.05999998	-0.05566408	-0.06236418	
0.2695	-0.05999998	-0.05607759	-0.06228536	
0.27	-0.05999998	-0.05645159	-0.06220828	
0.2705	-0.05999998	-0.05678986	-0.06213298	
0.271	-0.05999998	-0.05709584	-0.06205945	
0.2715	-0.05999998	-0.05737262	-0.06198771	
0.272	-0.05999998	-0.057623	-0.06191776	
0.2725	-0.05999998	-0.05784948	-0.06184958	
0.273	-0.05999998	-0.05805436	-0.06178318	
0.2735	-0.05999998	-0.05823971	-0.06171856	
0.274	-0.05999998	-0.05840739	-0.0616557	
0.2745	-0.05999998	-0.05855908	-0.0615946	
0.275	-0.05999998	-0.05869632	-0.06153522	
0.2755	-0.05999998	-0.05882047	-0.06147757	
0.276	-0.05999998	-0.0589328	-0.06142162	
0.2765	-0.05999998	-0.05903443	-0.06136736	
0.277	-0.05999998	-0.05912637	-0.06131474	
0.2775	-0.05999998	-0.05920955	-0.06126377	
0.278	-0.05999998	-0.05928481	-0.0612144	
0.2785	-0.05999998	-0.0593529	-0.06116661	
0.279	-0.05999998	-0.05941451	-0.06112038	
0.2795	-0.05999998	-0.05947025	-0.06107567	
0.28	-0.05999998	-0.05952068	-0.06103246	
0.2805	-0.05999998	-0.05956632	-0.0609907	
0.281	-0.05999998	-0.0596076	-0.06095039	
0.2815	-0.05999998	-0.05964496	-0.06091147	
0.282	-0.05999998	-0.05967875	-0.06087392	
0.2825	-0.05999998	-0.05970933	-0.0608377	
0.283	-0.05999998	-0.059737	-0.06080279	
0.2835	-0.05999998	-0.05976203	-0.06076914	
0.284	-0.05999998	-0.05978468	-0.06073674	
0.2845	-0.05999998	-0.05980518	-0.06070553	
0.285	-0.05999998	-0.05982372	-0.06067549	
0.2855	-0.05999998	-0.0598405	-0.06064658	
