TimeSlice	Time	BD30FD2B-9C21-4F8A-9254-2AD6E017A678
1047	0.5235	8.65449
1048	0.524	8.65192
1049	0.5245	8.64935
1050	0.525	8.64677
1051	0.5255	8.64419
1052	0.526	8.64161
1053	0.5265	8.63903
1054	0.527	8.63645
1055	0.5275	8.63386
1056	0.528	8.63127
1057	0.5285	8.62868
1058	0.529	8.62608
1059	0.5295	8.62349
1060	0.53	8.62089
1061	0.5305	8.61828
1062	0.531	8.61568
1063	0.5315	8.61307
1064	0.532	8.61046
1065	0.5325	8.60785
1066	0.533	8.60524
1067	0.5335	8.60262
1068	0.534	8.6
1069	0.5345	8.59738
1070	0.535	8.59475
1071	0.5355	8.59213
1072	0.536	8.5895
1073	0.5365	8.58687
1074	0.537	8.58423
1075	0.5375	8.5816
1076	0.538	8.57896
1077	0.5385	8.57632
1078	0.539	8.57367
1079	0.5395	8.57103
1080	0.54	8.56838
1081	0.5405	8.56573
1082	0.541	8.56307
1083	0.5415	8.56042
1084	0.542	8.55776
1085	0.5425	8.5551
1086	0.543	8.55243
1087	0.5435	8.54977
1088	0.544	8.5471
1089	0.5445	8.54443
1090	0.545	8.54176
1091	0.5455	8.53908
1092	0.546	8.5364
1093	0.5465	8.53372
1094	0.547	8.53104
1095	0.5475	8.52835
1096	0.548	8.52566
1097	0.5485	8.52297
1098	0.549	8.52028
1099	0.5495	8.51759
1100	0.55	8.51489
1101	0.5505	8.51219
1102	0.551	8.50949
1103	0.5515	8.50678
1104	0.552	8.50407
1105	0.5525	8.50136
1106	0.553	8.49865
1107	0.5535	8.49594
1108	0.554	8.49322
1109	0.5545	8.4905
1110	0.555	8.48778
1111	0.5555	8.48505
1112	0.556	8.48232
1113	0.5565	8.47959
1114	0.557	8.47686
1115	0.5575	8.47413
1116	0.558	8.47139
1117	0.5585	8.46865
1118	0.559	8.46591
1119	0.5595	8.46317
1120	0.56	8.46042
1121	0.5605	8.45767
1122	0.561	8.45492
1123	0.5615	8.45216
1124	0.562	8.44941
1125	0.5625	8.44665
1126	0.563	8.44389
1127	0.5635	8.44112
1128	0.564	8.43836
1129	0.5645	8.43559
1130	0.565	8.43282
1131	0.5655	8.43004
1132	0.566	8.42727
1133	0.5665	8.42449
1134	0.567	8.42171
1135	0.5675	8.41892
1136	0.568	8.41614
1137	0.5685	8.41335
1138	0.569	8.41056
1139	0.5695	8.40776
1140	0.57	8.40497
1141	0.5705	8.40217
1142	0.571	8.39937
1143	0.5715	8.39657
1144	0.572	8.39376
1145	0.5725	8.39095
1146	0.573	8.38814
1147	0.5735	8.38533
1148	0.574	8.38251
1149	0.5745	8.37969
1150	0.575	8.37687
1151	0.5755	8.37405
1152	0.576	8.37123
1153	0.5765	8.3684
1154	0.577	8.36557
1155	0.5775	8.36274
1156	0.578	8.3599
1157	0.5785	8.35706
1158	0.579	8.35422
1159	0.5795	8.35138
1160	0.58	8.34854
1161	0.5805	8.34569
1162	0.581	8.34284
1163	0.5815	8.33999
1164	0.582	8.33713
1165	0.5825	8.33427
1166	0.583	8.33141
1167	0.5835	8.32855
1168	0.584	8.32569
1169	0.5845	8.32282
1170	0.585	8.31995
1171	0.5855	8.31708
1172	0.586	8.31421
1173	0.5865	8.31133
1174	0.587	8.30845
1175	0.5875	8.30557
1176	0.588	8.30268
1177	0.5885	8.2998
1178	0.589	8.29691
